image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334200>,"[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]","[['A man wearing a black shirt is playing the guitar in his home.'], ['A man in a black shirt and white pants is playing the guitar.'], ['A man in a black shirt is sitting on a chair and playing the guitar.'], ['A man in a black t-shirt is playing the guitar while sitting down.'], ['A man with a guitar is playing with his hand on the strings.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7EC0B3333F20>,"[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]","[['A couple walking on the sidewalk in a crowded city.'], ['A couple is walking down a sidewalk with bright lights behind them.'], ['A couple is walking down a busy city street at night with many neon signs in the background.'], ['A couple walking down a street at night, and a woman dressed in red in the distance.'], ['A couple walk down a street in the night wearing dark clothing and looking at the shops.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334470>,"[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]","[['A man is jumping into a river with large cliffs behind him.'], ['A boy in a gray shirt and yellow shorts jumps off a bank into a river in a canyon.'], ['A boy in a blue shirt and yellow shorts is jumping off a cliff into a river.'], ['A boy in a gray shirt and yellow shorts is jumping off a ledge into a river.'], ['A boy in a gray shirt and yellow shorts jumping into a river with the mountains behind him.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334500>,"[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]","[['Two people are sitting on a beach at dusk with their feet in the water.'], ['Two men sit at a table on the shore of a body of water with mountains in the background.'], ['Two people are sitting in chairs on the shore of a body of water watching the sunset.'], ['Two men sitting in the dark, with mountains in the background.'], ['Two people sitting in the dark at dusk by a lake or ocean with mountains in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7EC0B3334590>,"[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]","[['A woman wearing a striped shirt and an apron is cutting up some food.'], ['A woman with red-hair and a striped shirt is preparing food in a commercial kitchen.'], ['A woman with red-hair is cutting food on a white cutting board with a large knife.'], ['A woman with red-hair is in a kitchen chopping vegetables.'], ['A woman in a striped shirt is cutting food on a cutting board.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7EC0B3333F50>,"[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]","[['Two men on horses are wearing red shirts and cowboy hats.'], ['Three people on horses are in a competition, wearing cowboy hats.'], ['A man on a brown and white horse with a man in a red shirt riding a brown horse in front of him, and another man with a black shirt riding a white and brown horse behind them. All of them have hats on and their horses have white blankets on them. There is a metal fence behind the horses with a man in a white shirt and a hat looking at the horses. There are also several cars with people in the background. There are a couple of red flags in the background as well. The horses are running in a dirt field and there is a sign with the letters ""mplot"" on it in the background.'], ['A man in a red shirt and cowboy hat is riding a brown horse.'], ['Two cowboys are riding horses with red shirts on in the rodeo.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334650>,"[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]","[['Four skaters with yellow helmets are racing around a curve in an indoor rink.'], ['Four short-track speed skaters wearing yellow helmets compete in a race.'], ['Three speed skaters are racing around a corner on an ice track.'], ['Four people wearing yellow helmets are skating in a race.'], ['Four speed skaters with yellow helmets race around a curve on the ice.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7EC0B33347A0>,"[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]","[['A man in a white outfit is playing a keyboard on stage.'], ['A man dressed in white plays piano while on stage.'], ['A man in all white is playing an instrument on stage with lights on him.'], ['A man dressed in all white, playing the piano on a stage.'], ['A man dressed in all white playing piano and singing on stage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7EC0B3334830>,"[[""A group of people are standing on a city street at night; in the background are streetlights and a McDonald's restaurant.""], ['A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]","[['Man in neon yellow vest is pushing a garbage cart along side the street.'], ['A sanitation worker in a green uniform pushes a garbage cart down the street.'], ['An old man is pushing his garbage collection cart down the street.'], ['A man in a bright yellow vest is standing on the street with a cart full of items on wheels.'], ['A man is pushing a garbage cart on a busy street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7EC0B33348C0>,"[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]","[['A man in a black shirt is cooking hotdogs on a large grill.'], ['A man in a black shirt is wearing white gloves and is grilling sausages.'], ['A man in a black shirt is grilling several sausages on a silver grill while wearing white gloves.'], ['A man wearing a black shirt is grilling a large quantity of hotdogs.'], ['A man wearing a black shirt is standing at a grill cooking hotdogs.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334950>,"[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]","[['A young girl in a blue sweater is climbing a tree with no leaves on it.'], ['A young girl in a blue skirt and sweater is sitting in a tree smiling.'], ['A girl wearing a blue sweater is climbing a tree and smiling.'], ['A young girl in a blue school uniform is climbing a leafless tree.'], ['A girl in a blue outfit is climbing a tree with no leaves.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7EC0B3330170>,"[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]","[['A young woman in red uniform kicking a soccer ball while playing goalie.'], ['A female soccer player in red is playing soccer and is near the net.'], ['A soccer goalie in red kicks a ball into a net in the background.'], ['A girl in a red uniform kicks a soccer ball toward the net.'], ['A young woman in red and black soccer gear is kicking a soccer ball.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3332D50>,"[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]","[['A man in a striped shirt and jeans is sitting on a bench with his eyes closed while a bicycle is parked next to him.'], ['A man in a striped shirt is sitting on a bench and looking down.'], ['A man in a striped shirt and jeans is sitting on a brick sidewalk with his head down.'], ['A man in a white shirt and blue jeans sitting on a step and looking at the ground with a bike behind him.'], ['A man is sitting on a step, next to a bicycle and a brick wall, with his eyes closed and his head hanging down.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3331C70>,"[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]","[['A man is on a boat in the water near a group of swans while a family looks on from the grass nearby.'], ['A man in a boat feeds swans and ducks while people sit and watch on the shore.'], ['A man in a boat is feeding a flock of white birds as some people watch from the shore.'], ['A man feeding a group of swans in a lake with a family sitting on the shore watching him.'], ['A man in a boat feeding a group of white geese in a canal while a family watches from the shore.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3330350>,"[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]","[['The brown dog is standing in the grass with a stick in its mouth.'], ['A large golden retriever with a long, fluffy tail is carrying a stick in its mouth.'], ['A large golden dog holds a stick in its mouth on grass with leaves on it.'], ['A golden retriever is looking at a stick and has its tail up in the air.'], ['A fluffy brown dog is holding a stick in its mouth and standing in a yard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7EC0B33319A0>,"[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], [""A woman playing an electric guitar that doesn't have any strings.""], ['A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]","[['A woman in a gray tank top playing a guitar.'], ['A woman in a gray tank top is playing an electric guitar.'], ['An asian woman wearing a tank top is holding a guitar.'], ['A lady in a gray tank top and jeans plays a black guitar.'], ['A woman with dark hair plays an electric guitar at home.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7EC0B3331640>,"[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]","[['A man wearing a Statue of Liberty costume walks through a crowd of people.'], ['A person dressed as the Statue of Liberty is in a city street with people walking around.'], ['A man in a costume of the Statue of Liberty is walking down a crowded street.'], ['A person dressed as the Statue of Liberty is standing in a busy street.'], ['A man dressed as the Statue of Liberty, complete with sunglasses, stands among the crowd in a busy city scene.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7EC0B3331370>,"[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]","[['A man in a striped sweater is snowboarding.'], ['A snowboarder wearing a striped shirt is performing a trick on a snow-covered slope.'], ['A man wearing a striped shirt is snowboarding down a snowy hill.'], ['A snowboarder in a striped shirt and jeans is jumping in the snow with snow flying around him.'], ['A man in a black and white striped sweater, black pants and a black hat is water skiing at night.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7EC0B33312E0>,"[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]","[['A woman with long dark hair tied back with a blue hair tie is using a microscope in a lab.'], ['A woman in a blue shirt is looking through a microscope at some sort of machine.'], ['A woman in a blue lab coat is looking through a microscope.'], [""A woman wearing a blue shirt is looking through a microscope with another person's hand in the frame.""], ['A scientist wearing a blue lab coat is looking into a microscope in a lab.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EC0B3331F10>,"[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]","[['A man is walking a dog in front of a dilapidated building with graffiti on it.'], ['A man walking his dog by a building with graffiti on it.'], ['A man walking a dog past a gated building with broken windows.'], ['A man with a brown shirt is walking a dog in front of a white building.'], ['A man walking a dog, passing by an old building with graffiti on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334B00>,"[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]","[['Two women, one with red-hair and the other with blond-hair, pick strawberries.'], ['Two women, one with blond-hair and one with red-hair, are bent over picking something from the ground in a field.'], ['Two women crouch in a field and inspect the ground and plants around them.'], ['Two young women picking strawberries in a field. One wearing a black shirt and the other wearing a purple shirt.'], ['Two women are picking plants from the ground, one with a black shirt and one with a purple shirt.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7EC0B3334BC0>,"[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]","[['A young girl is biting into a corn on the cob with her eyes shut.'], ['A young girl with dark hair eats a corn on the cob with her eyes closed.'], ['A young woman is eating a corn on the cob while smiling at the camera.'], ['A woman closes her eyes as she takes a bite out of a piece of corn on the cob.'], ['A woman with dark hair and a bangs is eating corn on the cob.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EC0B3334C80>,"[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]","[['A woman in a pink shirt rides a brown horse at a rodeo.'], ['A woman is riding a horse in the rodeo arena.'], ['A woman wearing a pink shirt is riding a horse at a rodeo.'], ['Cowgirl and horse are jumping over a red Dodge sign.'], ['A woman in a pink shirt rides a horse around a barrel.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334D40>,"[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]","[['Two men, one wearing headphones and one wearing a green jacket, are shooting guns.'], ['Two men at a shooting range with one man in a green shirt holding a gun.'], ['A man in a green shirt is holding a shotgun while standing next to a man wearing a vest and headphones.'], ['A man is preparing to shoot a rifle at a shooting range.'], ['A man in a green jacket holds a gun while another man in a camouflage vest speaks to him.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3334E00>,"[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]","[['A woman sleeping on a chair in a vehicle with her arm hanging out the window.'], ['A woman in a red shirt and blue and white blanket asleep in a car.'], ['A woman in a pink shirt is sleeping on a blanket in the back of a car.'], ['A woman in a pink shirt is sleeping in a car with a blue and white blanket over her.'], ['A woman with a blue and white blanket and a pink shirt is sleeping in a car.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7EC0B3334E90>,"[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]","[['A man is walking in the rain with a truck and a wall with graffiti in the background.'], ['A man in a black coat is walking across a crosswalk in a snowy city street.'], ['A man in a black jacket is standing at a street corner in a snowy weather.'], ['A man in a black coat crossing the street during a snowstorm.'], ['A man wearing a black jacket crosses a street on a snowy day.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EC0B3334F20>,"[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]","[['A man wearing a ""Backyard Babies"" t-shirt is playing music for an audience.'], ['A man with a black and white shirt with the word ""Backyard Babies"" is in front of a crowd of people.'], ['A man wearing a Backyard Babies shirt sits in front of a crowd with a projector in front of him.'], ['A man with a beard and black hair wearing a t-shirt with the words ""Backyard Babies"" on it sits in front of a crowd with a record player in front of him. The people in the crowd are sitting on white chairs or standing up and looking towards the man and the record player. The setting appears to be a public outdoor space, like a town square or street. The man appears to be the one running the record player. There are cars parked in the background, as well as a few buildings. A few of the people in the crowd are wearing baseball caps. One man in the crowd has on a blue sweatshirt'], ['A man wearing a ""Backyard Babies"" shirt plays a projector in front of a crowd of people.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7EC0B3334FB0>,"[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]","[['Two women are surrounded by a bed of pink and white flowers.'], ['Two girls pose in a flower garden, pretending to fly.'], ['Two young women in a flower bed are making funny poses.'], ['Two girls are standing in a field of pink and white flowers.'], ['Two young women are posing with flowers, one with a black shirt and one with a white shirt.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7EC0B3335040>,"[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]","[['There are people on a boat in the water, and the boat is splashing as it moves through the water.'], ['Several men are on a boat in the water, rowing and splashing water around.'], ['A group of men wearing white tank tops and black shorts are rowing a yellow and black boat through the water.'], ['A team of men on a boat, with many of them rowing, with a sign on the side of the boat that says, ""Bakapulis Bad, Co."" on it.'], ['A group of men rowing a boat and splashing the water around with their paddles.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EC0B3335100>,"[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]","[['The back of a little boy playing in the water from a fountain.'], ['A young boy in blue shorts is jumping on yellow circles on a blue floor.'], ['The bottom half of a person is shown, wearing shorts, jumping in a puddle.'], [""The back of a child's legs as he stands on yellow circles on a blue surface.""], ['A child is playing in a water fountain and wearing shorts and a t-shirt.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7EC0B3335190>,"[['Two men, one looking through binoculars, one looking through a scope at something out of frame.'], ['Two men, both wearing hats, one using binoculars and the other holding a camera.'], ['Two men taking pictures in a secluded area, and they are wearing camping gear.'], ['Two older men are wearing outdoor clothing while using binocular devices.'], ['Two men wearing outdoor gear looking through binoculars.']]","[['Two men in the woods are taking pictures of the scenery around them.'], ['Two men, one with a tripod, taking photographs in the woods.'], ['Two men, both wearing green shirts and pants, are taking photos.'], ['Two men, one holding a camera and one holding a camera on a tripod, are taking pictures of something off-camera.'], ['Two men taking pictures in the woods. One with a camera on a tripod.']]"
