image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7CBB9D4A4470>,"[['A man in a black shirt and white gloves is grilling sausages on a large barbecue.'], ['A man in a black shirt cooking hotdogs on a grill.'], ['A man in a black shirt grilling many sausages.'], ['A man grills sausages on a large grill.'], ['A man in a black shirt grills sausages.']]","[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9D7DC6B0>,"[['A young girl in a blue dress climbing a tree'], ['A girl in a blue dress climbing a tree.'], ['A young girl is climbing a tree.'], ['A girl climbing a tree.'], ['A girl climbing a tree']]","[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7CBB9D858EF0>,"[['The soccer goalie is attempting to block the soccer ball from entering the goal.'], ['A woman goalie in a red jersey is blocking a ball from going into the goal.'], ['A female soccer goalie in a red jersey attempts to block a ball from the net.'], ['A girl goalie in red and black is about to block a soccer ball.'], ['A female soccer goalie in red attempts to block a ball.']]","[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DCED7F0>,"[['A man in a blue and white striped shirt sits down on a grate in front of a bike.'], ['A man in blue jeans and a striped shirt sits on a grate near a bicycle.'], ['A man in a blue and white striped shirt sits on the sidewalk.'], ['A man in a blue shirt and jeans sits on a street grate.'], ['A man in a blue and white shirt is sitting on a grate.']]","[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E4A6AE0>,"[['An elderly man in a white shirt and hat in a white boat feeds a flock of swans.'], ['A man in a white shirt and a tan hat is feeding a flock of white swans.'], ['An old man in a white boat feeding a flock of white swans.'], ['An older gentleman feeding a group of white swans.'], ['A man in a boat feeds a group of swans.']]","[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DE6E600>,"[['A large golden retriever is jumping up and trying to bite on a large stick.'], ['A brown dog is trying to bite a stick in his mouth.'], ['A brown dog is playing with a large stick.'], ['A dog jumps up to bite a large stick.'], ['A brown dog jumps for a stick.']]","[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBB9E069880>,"[['A young woman with a purple lei around her neck playing an electric guitar.'], ['A girl with a purple lei around her neck plays an electric guitar.'], ['A young girl playing a guitar game in the living room.'], ['A young woman playing a guitar video game.'], ['A woman playing the guitar.']]","[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], ['""A woman playing an electric guitar that doesn\'t have any strings."", \'A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7CBBDEF36E70>,"[['A statue of the Statue of Liberty is walking in the street with a man and a blond woman.'], ['A statue of the statue of liberty walks down the street.'], ['A statue of the statue of liberty walking down the street'], ['A statue of the Statue of Liberty on the street.'], ['A statue of the statue of liberty.']]","[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBB9DD152E0>,"[['A man on a snowboard is sliding across the snow.'], ['A man on a snowboard doing tricks in the snow.'], ['A man snowboarding through snow.'], ['A man snowboarding in the snow.'], ['A snowboarder in the snow.']]","[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7CBB9D9ABB90>,"[['A woman in a blue shirt is looking through a microscope in a lab.'], ['A woman in a blue lab coat looking through a microscope.'], ['A woman in a blue shirt is looking through a microscope.'], ['A woman in blue lab attire is looking through a scope.'], ['A woman is looking through a microscope.']]","[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9D7215B0>,"[['A man walks a dog in front of a building that has graffiti on it.'], ['A man walks his dog in front of an abandoned building.'], ['A man walks his dog in front of a run down building.'], ['A man is walking a dog in front of an old building.'], ['A man walks his dog in front of a building.']]","[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E5605F0>,"[['Two women with a wooden basket are picking strawberries in a field.'], ['Two young women pick strawberries from a field.'], ['Two girls are picking strawberries in a field.'], ['Two women are picking strawberries outdoors.'], ['Two women picking strawberries in a field.']]","[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7CBB9E51A480>,"[['A woman with short black hair holds a corn cob up to her mouth and squints her eyes.'], ['A girl with short hair is squinting her eyes while eating an ear of corn.'], ['A girl is eating an ear of corn and squinting her eyes.'], ['A girl is eating a corn cob while squinting her eyes.'], ['A girl squinting as she eats an ear of corn.']]","[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9E7CD760>,"[['A woman in a pink shirt and a cowboy hat is riding a brown horse that is running into a barrel that says ""Dodg"" and is wearing a red Dodge logo.'], ['A woman in a pink shirt and cowboy hat riding a horse in a rodeo.'], ['A woman wearing a pink shirt and hat is riding a horse at a rodeo.'], ['A woman in a pink shirt and cowboy hat is riding a horse.'], ['A woman in a pink shirt riding a horse at a rodeo.']]","[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9EAAF1D0>,"[['Two men, one wearing a green shirt and the other wearing a camo vest, are standing in a field with guns.'], ['Two men are standing in a field with a gun in hand, while another man is standing next to them.'], ['Two men are standing in a field with guns, while another man is standing near them.'], ['A man holding a rifle while another man looks on.'], ['Two men are practicing target shooting.']]","[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DE7CA10>,"[['A woman in a red shirt is sleeping in a car.'], ['A girl in a red shirt is sleeping in a car.'], ['A woman sleeps in the back seat of a car.'], ['A young woman asleep in the backseat.'], ['A girl sleeps in the backseat.']]","[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7CBB9D317F50>,"[['A man is walking across the street while snow is falling.'], ['A man in black coat is crossing a street in the snow.'], ['A man in a green jacket is crossing the street.'], ['A man is crossing the street during a snowstorm.'], ['A man is crossing the street.']]","[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9DE3AB10>,"[['A man with a beard and a T-shirt that says ""Backyard Babies"" kneels in front of a projector in front of an audience.'], ['A man sitting in front of a projector looking at a crowd.'], ['A man in a crowd sitting in front of a projector.'], ['A man is sitting on a step with a crowd behind him'], ['A man is sitting in front of a projector.']]","[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7CBB9E1A66C0>,"[['Two women, one wearing black and the other wearing white, are holding out their arms into a bed of flowers.'], ['Two women with black hair, one in a black shirt, the other in a white shirt, are in a flower garden.'], ['Two women are standing in a flower garden with their arms outstretched.'], ['Two girls are reaching into a bed of flowers.'], ['Two young women reach into a flower bed.']]","[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7CBB9E1DBF50>,"[['A large group of men in a boat are paddling the oars while splashing water.'], ['Men in a boat are paddling with oars and creating splashes of water.'], ['Men paddling a boat and creating large splashes.'], ['Boat full of men rowing down a river.'], ['A boat full of people rowing.']]","[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DCEC9E0>,"[['A little boy wearing blue shorts is jumping on a water fountain.'], ['A child wearing shorts is jumping on water sprinklers.'], ['A child jumps on a water fountain.'], ['A child jumps on water fountains.'], ['A boy jumps on a fountain.']]","[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7CBB9E4A70E0>,"[['Two men in hiking gear are using binoculars and a camera with a tripod.'], ['Two men with binoculars and cameras are looking through the trees.'], ['Two men with binoculars and cameras on a dirt road.'], ['Two men with binoculars and cameras are birdwatching.'], ['Two men with binoculars and cameras are birdwatching.']]","[['Two men, one looking through binoculars, one looking through a scope at something out of frame.'], ['Two men, both wearing hats, one using binoculars and the other holding a camera.'], ['Two men taking pictures in a secluded area, and they are wearing camping gear.'], ['Two older men are wearing outdoor clothing while using binocular devices.'], ['Two men wearing outdoor gear looking through binoculars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9DD555B0>,"[['Two young ladies, one in a green shirt and one in a gray shirt, are holding race numbers.'], ['Two female runners are waiting to begin a marathon.'], ['Two young women are holding signs while running.'], ['Two women running a race wearing signs.'], ['Two women are running in a race.']]","[['Two young women running, one wearing a green shirt and the other wearing a gray shirt with a race tag ""5028"" with an ambulance and a Coca-Cola machine in the background.'], ['Here is a picture of two teenage girls running on the side of the street in a race and there is an ambulance watching them.'], ['Two dark-haired young women dressed in t-shirts are running in a race.'], ['Two young women with numbers on their shirts run along a street.'], ['Two ladies running in front of a Coca-Cola ad.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x361 at 0x7CBB9ECCB260>,"[['A man in a white dress shirt and tan pants is walking past a group of people under a structure.'], ['A man in a white dress shirt and khaki pants walks past a group of people.'], ['An elderly man walking towards the camera in a white shirt and khakis.'], ['A man in a white shirt and tan pants walks past a group of people.'], ['A man is walking down a path.']]","[['Tourists stroll the streets between historic buildings.'], ['Some people are walking through a tourist attraction.'], ['Groups of people are walking out a short dark tunnel.'], ['A man walks a few feet in front of a family.'], ['An old man walking with a folder in his hand']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9E0E9250>,"[['Two cyclists, both wearing helmets and wearing blue and white uniforms, are riding their bikes in the park.'], ['Two cyclists dressed in blue and white uniforms, ride on a paved road with grass behind them.'], ['Two men on bikes are racing, and the one in the front is wearing a blue helmet.'], ['Two men racing in a bicycle race, both wearing blue helmets.'], ['Two bicyclists race against each other.']]","[['Two people dressed in their bicycle attire racing against each other or in a marathon race, racing on pavement.'], ['Two people are riding bicycles next to each other on ground with grass in the background.'], ['Two cyclists in blue uniforms compete against each other down the bicycle course.'], ['Two men racing down a street in a bicycle race.'], ['Two men ride there bike during the race.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=354x500 at 0x7CBB9DE4C590>,"[['An older lady sitting down with her knitting project on her lap.'], ['An older woman with gray hair and glasses is making mittens.'], ['An older woman sitting down and working on her knitting.'], ['An older lady in a green shirt is making knitted items.'], ['An elderly woman making a knitted product.']]","[['An older South American woman is knitting colorful hand warmers and enjoying herself.'], ['A woman with an orange knitted object on her hand and another in her lap.'], ['A woman is inspecting an ankle warmer.'], ['A woman is trying on knit arm warmers.'], ['An older woman trying on a new glove.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x236 at 0x7CBB9EBD1850>,"[['The team in green is trying to stop the other team in pink from scoring a goal.'], ['Men playing a field hockey game with one man on the ground trying to stop the ball'], ['Men in white and green uniforms are playing a sport with sticks and a ball.'], ['A group of men playing field hockey on a green field.'], ['A group of men play field hockey.']]","[['Two men in pink jerseys, two men in white jerseys, and one man in a black jersey and black helmet, are playing field hockey.'], ['Two teams, one in pink and one in white, play lacrosse on a field.'], ['A man playing field hockey with his team jumps in the air.'], ['Five men are playing lacrosse on a field.'], ['Five men playing an interesting sport.']]"
