image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF3500>,"[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]","[['A man wearing a Rolling Stones shirt is playing an acoustic guitar while sitting on a chair.'], ['A man is playing a guitar while wearing a Rolling Stones shirt.'], ['A man in a black Rolling Stones shirt plays the guitar.'], ['A man playing a guitar while sitting in a chair.'], ['A man wearing a Rolling Stones t-shirt plays the guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7D54BCFF35F0>,"[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]","[['A group of people are walking down a street lined with signs and shops.'], ['People walking on a city street in the evening with many signs advertising.'], ['Two people walk through a street that is full of buildings with signs in a foreign language.'], ['Two people are walking down a sidewalk in front of stores and signs.'], ['A group of people walking on a sidewalk in front of a store.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF36B0>,"[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]","[['A man is jumping high above a body of water.'], ['A boy wearing yellow shorts and a grey shirt is jumping over a pile of dirt on the shore of a lake.'], ['A man is jumping off a cliff into the water.'], ['A boy jumps up from a sandy hill to land in a river with his arms up.'], ['A boy in a yellow shirt and yellow shorts jumping in the air on a rocky cliff next to a lake.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF37A0>,"[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]","[['A man sitting on a chair next to a boat in the water.'], ['Two people sit on a dock at sunset near a mountain range.'], ['The sun sets behind mountains, while a few people enjoy the view.'], ['A beach scene at night shows two people sitting and a boat in the water.'], ['A couple sits on a dock by a lake.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7D54BCFF3860>,"[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]","[['A woman cutting vegetables in a kitchen, with a knife on the cutting board and a plastic bag around her neck.'], ['A woman is preparing food at a table while three other people stand behind her.'], ['A woman in a black and white striped shirt is cutting up food on a table.'], ['A woman with purple hair is wearing a white apron and preparing ingredients.'], ['A woman in a kitchen with a striped shirt on is standing over a table with knives on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7D54BCFF3950>,"[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]","[['A group of people stand around a horse in a rodeo ring.'], ['A man in a red shirt is riding a horse in a rodeo ring while spectators watch.'], ['Man in red shirt is riding a horse in a rodeo.'], ['A man is on a horse at a rodeo while a crowd watches.'], ['Cowboys and cowgirls ride on horses while watching a rodeo.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF09B0>,"[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]","[['A group of four skaters are racing on the ice.'], ['Four people on skates are skating around each other.'], ['A group of four skaters are racing on the ice.'], ['A group of skaters are skating in a line on the ice.'], ['A group of people skateboarding on ice.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7D54BCFF3A40>,"[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]","[['A keyboardist performs on stage at a concert.'], ['A man plays a keyboard while singing on stage.'], ['A man in a white outfit is playing an instrument on stage in front of a crowd.'], ['A man is playing a keyboard in front of a microphone.'], ['A man in a white shirt and pants is on stage playing a keyboard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7D54BCFF3B30>,"[[""A group of people are standing on a city street at night; in the background are streetlights and a McDonald's restaurant.""], ['A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]","[['a man is pulling a cart with a sign that says ""POTATO"" in front of a building with a sign that says ""McDonald\'s"".'], ['A man in green clothing stands beside a cart and talks to the person kneeling down in front of a car.'], ['A man wearing a bright yellow jacket is pushing a cart down the street next to a man in a green shirt.'], ['A man in green and yellow stands next to a food cart near the sidewalk in front of a McDonalds restaurant.'], ['A man with a green cart on the sidewalk in front of a McDonalds restaurant.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7D54BCFF3BC0>,"[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]","[['A man is cooking hotdogs on a grill while wearing an apron and a glove.'], ['A man cooks hot dogs on a grill that is outdoors.'], ['A man is barbecuing hot dogs and sausages on a grill.'], ['A man in a black shirt stands in front of a grill with several cooked sausages on it.'], ['A man wearing a blue apron and gloves is grilling hot dogs on a barbeque.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF3C50>,"[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]","[['A young girl with a blue shirt is climbing a tree with a gnarled trunk.'], ['A woman in a blue dress and blue shirt sits in a tree.'], ['A woman is holding onto a tree limb while she stands in the tree.'], ['A woman in a blue shirt and skirt climbs up a tree.'], ['A girl in a blue dress and white shirt climbs up a tree.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7D54BCFF3D40>,"[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]","[['A female soccer player is kicking a ball towards a goal on a green grass field.'], ['A soccer player in a red shirt with the number 26 on the back of it kicks a ball.'], ['A soccer goalie in a red jersey is jumping to catch the ball in a game.'], ['A soccer player wearing a red uniform is kicking a ball on a field.'], ['A female soccer goalie in a red shirt leaps to save the ball from entering the net.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF0A40>,"[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]","[['Man with short hair wearing a white button down shirt with blue stripes sitting on a bench with his eyes closed and a bike behind him.'], ['A man in blue jeans and a white and blue striped shirt sits on the ground outside a building.'], ['A man in a striped shirt is sitting on a bench with his legs crossed.'], ['A man sitting on a bench with his head on his hand, looking down.'], ['A man with a white shirt and blue jeans sitting on a bench in front of a brick building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF3E30>,"[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]","[['A group of people are watching a man in a boat on a river.'], ['A man in a white shirt and a brown hat is sitting on a boat in a body of water with several white birds in the water around him.'], ['A man feeding swans in a river while two couples sit on a bench nearby.'], ['A man in a boat with white swans on a lake.'], ['A man on a boat is feeding a group of white swans in a canal.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF3EF0>,"[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]","[['a dog holding a stick in his mouth while jumping up.'], ['A dog is playing with a stick in a field with grass and leaves on the ground.'], ['A fluffy dog is playing with a stick on a grassy patch.'], ['A dog with a long tail and white hair is playing with a stick in a park.'], ['The dog is outside with a tree branch in its mouth.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7D54BCFF3F20>,"[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], [""A woman playing an electric guitar that doesn't have any strings.""], ['A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]","[['A woman holding a guitar is wearing a purple necklace.'], ['A girl wearing a purple necklace holds a guitar as she plays.'], ['A girl is playing a guitar in a room and has a bottle of Coca Cola next to her.'], ['a girl in a gray tank top and purple necklace playing a guitar video game.'], ['a woman is playing a guitar with a purple and white necklace around her neck.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7D54BCFF3F50>,"[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]","[['A man stands with his back to the camera while a statue of Liberty behind him holds an American flag.'], ['a man with a backpack standing in front of a statue of Liberty.'], ['A group of people stand on a busy street in New York City.'], ['A person in a white shirt stands in front of the statue of liberty in a crowded square.'], ['The Statue of Liberty statue is on the sidewalk in front of a building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7D54BCFF4350>,"[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]","[['A man snowboarding outside at night time with snow flying everywhere.'], ['A man is doing a trick on a snowboard with the snow spraying up behind him.'], ['A man is snowboarding in the snow, with the word ""PARK"" on the front of his jacket.'], ['A man in a striped shirt and blue hat is doing a trick on a snowboard with snow flying around.'], ['A snowboarder wearing a striped shirt is making a jump in the air while the snow is splashing up around him.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7D54BCFF4440>,"[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]","[['A scientist is using a microscope in a lab.'], ['A scientist peers through a microscope in a lab.'], ['A woman is using an instrument in a laboratory and looking through an eye piece.'], ['A female scientist is looking through a microscope while working with a machine.'], ['A lab tech is looking through a microscope while another lab tech works on a computer nearby.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BCFF4500>,"[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]","[['A man walking his dog on a sidewalk next to a run down building with graffiti on it.'], ['A man in a suit and tie walks his dog in front of a graffiti covered building.'], ['Man walking a dog in front of a large building covered in graffiti.'], ['Man walking his dog down a street in front of a building that has been painted with graffiti.'], ['A man walks his dog down the street in front of an old, abandoned building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF4590>,"[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]","[['Two women picking strawberries from the fields.'], ['Two people picking strawberries from a field while wearing a black and a purple shirt.'], ['Two women are picking strawberries in a field. One is wearing a black jacket while the other is wearing a dark red dress.'], ['Two women in a field of plants, with one woman picking berries in a field and the other standing next to a basket of berries.'], ['A woman wearing a black shirt is crouching down with another woman in a purple dress picking strawberries from a field.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7D54BCFF4620>,"[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]","[['A woman holds a piece of corn in her mouth and looks away.'], ['A woman with bangs is eating a yellow ear of corn.'], ['a woman with black hair eating an ear of corn.'], ['A girl with dark hair eating a corn cob.'], ['A young girl with black hair is biting into a whole ear of corn.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BCFF46E0>,"[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]","[['A woman wearing a pink shirt is riding a horse around a red barrel.'], ['A horse in a rodeo turns a corner around a red barrel that has the Dodge logo on it.'], ['A woman in a pink shirt and black pants riding a brown horse around a barrel.'], ['A horse racing around a barrel in a rodeo.'], ['A person riding a horse and making a turn around a barrel.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF4770>,"[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]","[['A man in a black vest is looking at a man holding a rifle.'], ['Two men stand in a grassy field while holding guns.'], ['A man in a brown vest is standing in a field next to a boy holding a rifle.'], ['Two men are standing in a field holding guns.'], ['Two men are standing in a field holding guns.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF4890>,"[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]","[['A woman in a red shirt lays on a seat and is covered with a blue blanket.'], ['A woman sleeping on a bed while wrapped in a blanket.'], ['A woman sitting in the back seat of a car with a blue and white blanket over her.'], ['A woman in a red tank top and a blue blanket sleeping in the back seat of a car.'], ['a person laying down on a chair with a blue and white blanket on their lap.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7D54BCFF4920>,"[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]","[['A man in green stands near a truck in the snow.'], ['A man with a black jacket walks across the street in the snow.'], ['A man in a raincoat standing next to a street sign.'], ['A man is walking through the street in the snow.'], ['Man in dark clothes walking in front of graffiti covered wall in snow.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BD18FF50>,"[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]","[['A group of people, including some men and women, sit and watch a movie on a projector.'], ['A group of people are seated, with a man holding a piece of paper, while others are watching a movie.'], ['Man sitting on stage in front of crowd with projector.'], ['A man in a t-shirt with Backyard Babies written on it is sitting on the floor in front of a projector.'], ['A group of people sitting on chairs and watching a movie being projected onto a wall.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7D54BCFF4A10>,"[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]","[['Two women are standing in front of a large flower garden with their arms out in front of them.'], ['Two young girls lean their heads over a bed of flowers and are wearing black shirts.'], ['Two women, one wearing a black jacket, are lying in a bed of pink and white flowers.'], ['Two people, one in a black shirt and one in a white shirt, are lying on a bed of flowers with their arms extended forward.'], ['Two women are standing among a bed of flowers, their arms outstretched to embrace the plants.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7D54BCFF4AA0>,"[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]","[['A group of men in a boat racing down a river.'], ['A boat is shown with several men and one with a red tube in the water.'], ['A group of men rowing a boat, wearing white tank tops and black shorts.'], ['A group of people on a boat, rowing and splashing water in the air.'], ['A boat full of people, many of whom are wearing white tank tops, travel on a river.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7D54BCFF4B60>,"[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]","[['A child jumps on a blue and yellow splash pad with water shooting up from the surface.'], ['a child jumping on a yellow circle on the floor.'], ['A child jumping on a blue and yellow splash pad.'], [""A person's legs in shorts jump in a fountain.""], ['A person is jumping on a blue surface with yellow circular patches.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7D54BCFF4BF0>,"[['Two men, one looking through binoculars, one looking through a scope at something out of frame.'], ['Two men, both wearing hats, one using binoculars and the other holding a camera.'], ['Two men taking pictures in a secluded area, and they are wearing camping gear.'], ['Two older men are wearing outdoor clothing while using binocular devices.'], ['Two men wearing outdoor gear looking through binoculars.']]","[['Two men, one with binoculars and the other with a camera on a tripod, are out exploring the woods.'], ['Two men are outside, one is holding binoculars and the other is holding a camera on a tripod.'], ['Two men in the field using a camera and binoculars to observe nature.'], ['Two men standing on a dirt path are using binoculars and a camera on a tripod.'], ['Two men on the side of a road with cameras.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7D54BCFF4C80>,"[['Two young women running, one wearing a green shirt and the other wearing a gray shirt with a race tag ""5028"" with an ambulance and a Coca-Cola machine in the background.'], ['Here is a picture of two teenage girls running on the side of the street in a race and there is an ambulance watching them.'], ['Two dark-haired young women dressed in t-shirts are running in a race.'], ['Two young women with numbers on their shirts run along a street.'], ['Two ladies running in front of a Coca-Cola ad.']]","[['Two women are running on a street with a Coca-Cola truck behind them.'], ['Two women are running down a city street in front of an ambulance.'], ['A girl in a green shirt stands next to a woman in a grey shirt on a road.'], ['A young girl with a green shirt running in a race.'], ['A group of young people, including a girl in a green shirt and another in a gray shirt, participating in a race event.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x361 at 0x7D54BCFF4D10>,"[['Tourists stroll the streets between historic buildings.'], ['Some people are walking through a tourist attraction.'], ['Groups of people are walking out a short dark tunnel.'], ['A man walks a few feet in front of a family.'], ['An old man walking with a folder in his hand']]","[['A man walking towards the camera in a white shirt and khaki pants.'], ['A man walking on a sidewalk with a group of people in the background.'], ['A group of people walking down a street, with a man in a white shirt and tan pants leading the group.'], ['A man with glasses and a white shirt is walking through a large doorway with other people.'], ['An old man walks on a sidewalk next to a crowd of people.']]"
