image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D108D4F0>,"[['Two women are picking strawberries on a strawberry field, one woman wearing a purple shirt and shorts, the other wearing a black shirt and black pants.'], ['Two women, one in a black shirt and the other in a maroon shirt, picking strawberries in a field.'], ['Two women, one wearing black and the other maroon, picking strawberries.'], ['Two women are picking strawberries in a field.'], ['Two women picking strawberries in a field.']]","[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7AF2D112B050>,"[['A child with a big grin on his face, is biting into a cob of corn.'], ['A young girl bites into an ear of corn, closing her eyes.'], ['A young Asian girl with black hair is eating corn.'], ['A little girl bites into an ear of corn.'], ['A little girl bites into an ear of corn.']]","[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D11EE9C0>,"[['A woman wearing a pink shirt and cowboy hat riding a horse around a barrel.'], ['A woman wearing a pink shirt and cowboy hat rides a horse around a barrel.'], ['A woman riding a horse at a rodeo racing around a barrel.'], ['A woman is riding a horse around a barrel at a rodeo.'], ['A woman in a pink shirt is riding a horse.']]","[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D11EFE30>,"[['A man in a green shirt and a man in a camouflage vest are shooting a shotgun.'], ['A man in a green jacket and a man with a brown vest are shooting a shotgun.'], ['Two men are at a shooting range, one is about to shoot.'], ['Two men shooting clay targets at a range.'], ['Two men shoot clay targets.']]","[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D102CC50>,"[['A woman in a pink shirt is asleep in a car with a blue and white blanket.'], ['A woman in a red shirt sleeping in a car with a blanket.'], ['A woman in a red shirt is sleeping in a car.'], ['A woman in a pink shirt sleeps in a car.'], ['A woman in a pink shirt sleeping in a car']]","[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7AF2D11EF410>,"[['A man is crossing a street in a snowy day, wearing a dark blue jacket and light brown pants.'], ['A man walking across the street in a dark winter day.'], ['A man is crossing the street in the snow.'], ['A man is walking in the snow.'], ['A man walking in the snow.']]","[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D10EEF90>,"[['A man wearing headphones and a shirt that says ""Backyard Babies"" sits in front of a crowd of people.'], ['A man with a Backyard Babies t-shirt is sitting in front of a group of people.'], ['A man wearing a ""Backyard Babies"" shirt is in front of a group of people.'], ['A man with a Backyard Babies shirt on, in front of a group of people.'], ['A man sitting down in front of a crowd of people.']]","[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7AF2D10EC8F0>,"[['Three Asian women are standing in a bed of flowers and reaching out their arms.'], ['Three women in a flower bed with their arms outstretched.'], ['Three Asian women are standing in a bed of flowers.'], ['Three women are standing in a bed of flowers.'], ['Three Asian women in a bed of flowers.']]","[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7AF2D102CE90>,"[['A group of people in white tank tops paddle a boat through a river.'], ['A group of people paddle a boat through a body of water.'], ['A group of people rowing a boat in a river.'], ['A group of people paddling a boat.'], ['People paddling in a boat.']]","[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7AF2D115E480>,"[['A child wearing blue shorts is stepping on yellow circles in the water.'], ['A young boy is standing on yellow circles in a splash pad.'], ['A little boy playing in a blue and yellow water park.'], ['A child is playing in a water park.'], ['A child plays in a water park.']]","[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7AF2D11EE570>,"[['Two men in khaki vests are looking through binoculars and camera lens, respectively.'], ['A man with a camera and a man with binoculars are standing next to each other.'], ['Two men are looking at nature through a camera and binoculars.'], ['Two men are standing next to each other looking at something.'], ['Two men are looking through their binoculars and camera.']]","[['Two men, one looking through binoculars, one looking through a scope at something out of frame.'], ['Two men, both wearing hats, one using binoculars and the other holding a camera.'], ['Two men taking pictures in a secluded area, and they are wearing camping gear.'], ['Two older men are wearing outdoor clothing while using binocular devices.'], ['Two men wearing outdoor gear looking through binoculars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D10B8CB0>,"[['Two girls are running a race, the girl on the right is wearing a race number and the girl on the left is wearing a green shirt.'], ['Two young girls running in a marathon wearing race numbers.'], ['Two girls running a race with the number 5028 on them.'], ['Two young women run in a race.'], ['Two girls run a race.']]","[['Two young women running, one wearing a green shirt and the other wearing a gray shirt with a race tag ""5028"" with an ambulance and a Coca-Cola machine in the background.'], ['Here is a picture of two teenage girls running on the side of the street in a race and there is an ambulance watching them.'], ['Two dark-haired young women dressed in t-shirts are running in a race.'], ['Two young women with numbers on their shirts run along a street.'], ['Two ladies running in front of a Coca-Cola ad.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x361 at 0x7AF2D1129490>,"[['A man in a white shirt walks toward the camera as people walk away from it, in front of a large building.'], ['A man in a white shirt and khaki pants walking in the street.'], ['A bald man is walking in front of a group of people.'], ['A man in a white shirt is walking down the street.'], ['A man in a white shirt walks through a dark area.']]","[['Tourists stroll the streets between historic buildings.'], ['Some people are walking through a tourist attraction.'], ['Groups of people are walking out a short dark tunnel.'], ['A man walks a few feet in front of a family.'], ['An old man walking with a folder in his hand']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7AF2D0F58410>,"[['Two cyclists, one in a blue and white jersey, one in a white and blue jersey, riding on a paved road.'], ['Two men in racing gear are riding their bikes on a paved road.'], ['Two people riding their bicycles on a paved road.'], ['Two men riding bikes down a paved road.'], ['Two men are racing on bicycles.']]","[['Two people dressed in their bicycle attire racing against each other or in a marathon race, racing on pavement.'], ['Two people are riding bicycles next to each other on ground with grass in the background.'], ['Two cyclists in blue uniforms compete against each other down the bicycle course.'], ['Two men racing down a street in a bicycle race.'], ['Two men ride there bike during the race.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=354x500 at 0x7AF2D11EE390>,"[['An elderly woman with gray hair and glasses sitting on a couch with her hands in her lap smiling.'], ['A woman with gray hair and glasses smiles while holding a brightly colored fabric item.'], ['A woman with gray hair and glasses is sitting on a couch and smiling.'], ['A woman wearing glasses is sitting on a couch and smiling.'], ['A woman sitting on a couch and smiling.']]","[['An older South American woman is knitting colorful hand warmers and enjoying herself.'], ['A woman with an orange knitted object on her hand and another in her lap.'], ['A woman is inspecting an ankle warmer.'], ['A woman is trying on knit arm warmers.'], ['An older woman trying on a new glove.']]"
