image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BABD10>,"[['A man with a rolling stones t-shirt on with beige pants sitting in a highchair adjusting a black guitar'], ['Young man wearing a rolling stones black t-shirt playing a guitar.'], ['A young shaved head man is tuning his guitar.'], ['A young man tunes his guitar in the kitchen.'], ['A guy sitting on a chair tunes his guitar.']]","[['A man with a black t-shirt is playing a black acoustic guitar on a wooden floor.'], ['A man in a black Rolling Stones shirt is playing his guitar in a kitchen.'], ['A man in a Rolling Stones shirt is sitting down and playing a black acoustic guitar.'], ['A man in a black shirt plays a guitar in his kitchen while sitting on a chair on a brown mat.'], ['A man is playing a guitar in a kitchen area while sitting on a chair.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7885F0BABD40>,"[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]","[['Two men walking down the street at night in front of a brightly lit Chinese restaurant.'], ['There are people walking down a sidewalk in a foreign country at night.'], ['A man in a black suit is walking down the street at night in a foreign city.'], ['People walking down the street at night, in front of many Asian shops.'], ['People on a dark street with a neon sign on the left and many signs to the right of the street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BABE00>,"[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]","[['A person jumping over a river bank in a scenic canyon.'], ['A woman in a gray shirt and yellow shorts jumping up on a sandbank near a river.'], ['A man in yellow shorts is jumping up in the air near a river and rocky cliffs.'], ['A boy in yellow shorts and a gray shirt jumping on a rocky bank beside a lake.'], ['A boy wearing a hat and yellow shorts is jumping up by a river.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BABF20>,"[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]","[['A couple sits on a dock with a mountain in the background at dusk.'], ['Two people are sitting on a boat with a mountain in the background.'], ['Two people are sitting on a bridge looking over the water, there are mountains in the background.'], ['Two people sitting on a dock next to the water with mountains in the background.'], ['A couple sits on a dock, watching the water, at sunset.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7885F0BAC260>,"[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]","[['A woman with purple hair is cutting onions at a kitchen counter while several people are in the background.'], ['A woman in a striped shirt is cutting onions on a white cutting board with a knife.'], ['A woman in a black and white striped shirt cutting up food on a cutting board in a kitchen.'], ['A woman is preparing food in a kitchen while wearing a plastic apron and cutting an onion on a cutting board.'], ['A woman with red-hair is cutting vegetables on a cutting board with a large knife while wearing an apron and a striped shirt.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7885F0BAC380>,"[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]","[[""A man in red shirt and cowboy hat is riding a brown and white horse. The man is holding onto the reins of the horse's head and has his feet off the horse's back.""], ['A person in a red shirt is riding a horse in a rodeo with a crowd of onlookers behind him.'], ['A man in a red shirt and cowboy hat is riding a brown and white horse at a rodeo while spectators watch.'], ['A man is riding a horse and holding onto the saddle. He is in the middle of a rodeo competition.'], ['A man in a red shirt is riding a brown and white horse on a dirt field with another man in a red shirt in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAC440>,"[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]","[['A group of four people on an ice rink in racing competition.'], ['Two men are racing on a track, one in a red shirt and the other in a black and white one.'], ['A group of people are on an ice rink in uniforms, and some are on their hands and knees.'], ['A group of men competing in a speed skating race.'], ['A group of people are playing on the ice. They are all wearing yellow helmets.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7885F0BAC500>,"[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]","[['A man in a white suit and white hat is standing on a stage, playing an instrument.'], ['A man in white is standing in front of a keyboard and playing it.'], ['A man in a white outfit plays a keyboard on a stage with various instruments.'], ['A man in white is playing a keyboard on a stage with his band.'], ['A man is playing a keyboard on a stage with a band. He is dressed in white.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7885F0BAC590>,"[[""A group of people are standing on a city street at night; in the background are streetlights and a McDonald's restaurant.""], ['A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]","[[""A man in a green uniform is pushing a cart down the street in the city. He is carrying a trash bag on the cart and is pushing it with his right hand. He is wearing a bright yellow jacket and green pants. A McDonald's restaurant is in the background. People are walking around the street, including a man and woman in the foreground. A car is driving by on the street. The street is lit up and has a McDonald's sign and a street lamp in the background.""], ['Two people on a city sidewalk look back at a man pushing a green and white cart down the street.'], ['A man in a green uniform is pushing a cart with a blue box on it, as people pass him on the street. A car is driving down the street in the background.'], [""A man and woman in green are pushing a large black cart with green and white signs on it in front of a McDonald's restaurant.""], [""A man in green pants and yellow jacket is pushing a cart down a busy street. He is looking at a McDonald's sign.""]]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7885F0BAC620>,"[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]","[['A man in a black shirt grills sausages on a barbecue grill with his knives nearby.'], ['A man in a black shirt is cooking sausages on a grill outdoors.'], ['A man in a black shirt is cooking sausages on a grill outside.'], ['A man in a black shirt grilling sausages at a barbeque.'], ['A man wearing a black shirt is grilling a lot of sausages in a grill outside.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAC6B0>,"[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]","[['A girl in a blue sweater is standing in a tree looking down at the camera.'], ['A woman is hugging a tree with her hands and a smile on her face.'], ['A young girl in a blue school uniform is climbing a tree outside of her school.'], ['A girl is climbing up a tree trunk with her hands and feet.'], ['A woman in a blue jacket is climbing a tree in a school uniform.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7885F0BAC770>,"[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]","[['A young woman in a red shirt and black shorts is kicking a soccer ball.'], ['A boy in red plays soccer in front of a goal with a white ball in his hand.'], ['A young man is hitting a soccer ball with his foot during a soccer game.'], ['A young man in a red uniform is hitting a soccer ball in front of a goal net.'], ['A boy in a red shirt is playing soccer in a field with a net behind him.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAC800>,"[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]","[['A man in a blue striped shirt sleeping on the sidewalk on a mat.'], ['A man sits on a bench with a newspaper in the background.'], ['A man in a striped shirt is sleeping on the sidewalk next to a newspaper stand.'], ['A man in a striped shirt sleeping on a black and white bench on the street.'], ['A man is sitting on a bench while holding a stick with fire on the end of it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0DC7DD0>,"[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]","[['A man is in a boat on a lake full of white swans and other birds.'], ['A man in a boat surrounded by swans and other waterfowl on a canal.'], ['A man in a white shirt and tan hat feeds swans on a lake while people sit on a grassy area behind him.'], ['A man is standing in a boat while swans swim in the water around him.'], ['A man is standing in a boat with white swans in a waterway with people sitting on the bank watching him.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAC8F0>,"[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]","[['The golden colored dog is holding a branch in his mouth and standing on the grass with fallen leaves.'], [""['A golden retriever in a grassy area with leaves on the ground holding a stick in its mouth.', 'A dog is holding a stick in its mouth while standing in the grass.', 'A tan colored dog holding a stick in his mouth', 'A golden retriever with a stick in his mouth.', 'A golden retriever holds a stick in its mouth']""], ['A blond dog is holding a stick in his mouth while he stands on a grassy field.'], ['A dog is holding a stick in its mouth and is standing on some grass covered in leaves.'], ['A large dog is chewing on a stick while standing in the grass.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7885F0BAC980>,"[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], [""A woman playing an electric guitar that doesn't have any strings.""], ['A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]","[['A young woman is sitting on a couch playing with a toy electric guitar.'], ['A young woman in a tank top and jeans holding a black and white guitar.'], ['A woman in a white tank top is playing the electric guitar.'], ['A woman is playing guitar hero and is looking up at the screen.'], ['A woman is holding a guitar and smiling at the camera while sitting on a couch.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7885F0BACA10>,"[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]","[['A man in a white shirt and backpack is looking at a statue of liberty in the city.'], ['A man in a white shirt holding a flag walks with a woman behind him while a man in sunglasses dances in the foreground.'], ['A person dressed as the Statue of Liberty is standing in the middle of a crowded street while a man in a white shirt watches him.'], ['A street performer dressed as the Statue of Liberty is performing for a crowd of people. The person is holding a flag and wearing sunglasses.'], ['A person dressed like the Statue of Liberty is standing in the middle of a crowd of people holding an American flag.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7885F0BACAD0>,"[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]","[['A man in a striped shirt and black pants is jumping in the snow.'], ['A man in a black and white striped shirt is kicking up snow as he is on a snowboard.'], ['A man wearing a black and white striped shirt, blue hat, and yellow and black snowshoes kicks his feet in the air as he snowboards on a snow covered path.'], ['A man in a striped shirt, black pants, and yellow shoes is practicing snowboarding at night.'], ['A person in a striped shirt and yellow and blue shoes is jumping in the snow at night.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7885F0BACB90>,"[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]","[['A woman in blue is on top of a machine with a man in blue in the background doing something with his hand.'], ['A woman with dark hair in blue scrubs is using a microscope in a lab setting while another person looks on.'], ['A man in blue is sitting on a machine while a woman in blue is looking at it through binoculars.'], ['A woman in blue scrubs is working on a machine while another person is doing something in the background.'], ['A woman in blue is working at a microscope while another woman is behind her doing something with a tool.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7885F0BACC50>,"[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]","[['A man walks his dog in front of a building with graffiti on it.'], ['A man walks his dog past a white building with a bunch of graffiti on it.'], ['A man is walking his dog in front of a building with graffiti on it.'], ['A man walks a dog in front of a building with graffiti on it.'], ['A person and a dog walk in front of a white building with graffiti on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0E6D310>,"[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]","[['Two people are looking at a garden while one woman is holding a basket.'], ['A woman in a purple shirt and a woman in a black jacket are looking at something on the ground near a plant.'], ['Two women are looking at a green plant while one of them has a basket by her side.'], ['Two women are looking at a strawberry patch with a basket at the ready.'], ['Two women are picking up plants in a field with a basket at their feet.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7885F0BACD40>,"[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]","[['Two children, one boy and one girl, eating corn on the cob, with their eyes closed.'], ['A boy with black hair and a black shirt holding up a corn cob to his mouth.'], ['A woman is holding a corn on the cob in front of her mouth.'], ['A young person with black hair is biting a piece of corn on the cob.'], ['Two kids are eating a corn on the cob and one of them is eating a little too much.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7885F0BACE30>,"[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]","[['A woman in a pink shirt is riding a brown horse next to a red Dodge logo on a red barrel.'], ['A person in a pink shirt riding a horse in a rodeo arena with a red barrel.'], ['A woman wearing a pink shirt riding a horse with a red dodge sign on it.'], ['A woman in a cowboy hat riding a brown horse around a red barrel in a rodeo ring.'], ['A woman wearing a cowboy hat is riding a brown horse around a red Dodge barrel.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BACEC0>,"[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]","[['A man in a green shirt holds a gun while a man in a brown vest looks away from him.'], ['A man in a green shirt and green pants is holding a gun, while another man wearing a green hat and a brown vest is clapping his hands together.'], ['A man with a hat and headphones is holding a shotgun while a man in a green shirt stands next to him.'], ['Two men wearing headphones and ear protection, one with a gun, standing in a field.'], ['A man in a green jacket and jeans is holding a rifle in a field, while another man stands next to him with his hands up.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BACF80>,"[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]","[['A woman in a red shirt is sleeping in a car with a blanket on her legs.'], ['A woman in a red shirt is sleeping in a car with a blue and white blanket on her.'], ['A woman wearing a pink shirt and blue blanket is sleeping in a car.'], ['A woman sleeping in the back of a car while being wrapped in a blue blanket.'], ['A woman in a pink shirt sleeping in the back of a car.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7885F0BAD010>,"[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]","[['A man is walking down the street in the rain, with snowflakes falling from the sky.'], ['A man in a black jacket and khaki pants walks down a snowy street past a truck and a wall with graffiti on it.'], ['A man in a dark jacket and beige pants is walking across the street during a snowstorm.'], ['A man walking down the street on a snowy day with a wall with graffiti on it behind him.'], ['A man walks past a wall with a large truck on the left side of the street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7885F0BAD0D0>,"[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]","[['A man is sitting on a chair in front of a group of people, while holding a boom box and wearing headphones.'], ['A man in a baseball tee is squatting down and sitting on a table as he has a crowd behind him.'], ['A baseball player in a crowd of people, sitting down and looking at something.'], ['A young man in a Backyard Babies t-shirt is sitting in front of a crowd of people in a parking lot.'], ['A man in a black and white baseball shirt is in front of a group of people on a street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7885F0BAD160>,"[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]","[['Two Asian women are standing with arms outstretched in front of a flower bed.'], ['A woman and two girls with black hair stand behind a row of pink and white flowers.'], ['Three people with black hair are standing in a flower garden with their arms outstretched.'], ['Two women with black hair in a flower garden with their arms outstretched.'], ['Three people standing in a flower garden with their arms outstretched.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7885F0BAD220>,"[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]","[['A man is sitting in a rowboat while a group of people stand on the back of it.'], ['A group of people are rowing a boat in a lake as the water splashes up from the back of the boat.'], ['A group of people paddling a boat through a body of water with trees in the background.'], ['A man is holding a large stick over the water in a boat with others.'], ['A man is splashing water while racing in a boat with other people on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7885F0BAD2B0>,"[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]","[['A child is standing on yellow circles while water shoots up from the ground beneath his feet. He is wearing blue shorts and a gray shirt.'], ['A young boy wearing blue shorts is walking across a yellow and blue playground surface with water sprays and a stone wall behind him.'], ['A person is playing in a blue and yellow water splash pad, with water shooting up from the ground behind them.'], ['A man in blue shorts and a gray shirt is standing on yellow circles on the ground in front of a wall and water sprinklers.'], ['A barefoot boy in blue shorts and a blue shirt plays at a water park, with water sprinklers around him, and he is standing on yellow discs in a blue pool of water.']]"
