image,original_response_formatted,generated_response_formatted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3CB00>,"[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]","[['A person is standing on a small boat in the ocean.'], ['A group of people sit on a deck overlooking a lake or ocean at sunset.'], ['A person is sitting on the riverfront, holding a hookah in front of them.'], ['A group of people sit on a floating raft, with a mountain range in the background and a city in the distance.'], ['A man in a green hat is facing away from the camera, sitting on the edge of a body of water at dusk.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7FD2D5B3C8C0>,"[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]","[['A woman in a black and white striped shirt and a plastic apron is cutting a red onion on a white cutting board.'], ['A woman is cutting onions with a sharp knife.'], ['A woman in an apron is cutting vegetables on a white cutting board in a kitchen.'], ['A woman with short red hair and a striped shirt is looking down at a cutting board with a knife and a bowl of vegetables on it.'], ['A young girl with pink hair and a black and white striped shirt is standing in front of a counter in a kitchen, cutting an onion with a large knife.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7FD2D5B3D0A0>,"[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]","[['A young boy wearing a blue hat and a red shirt is sitting on a horse, while other people in the background watch him.'], ['A group of people on horseback, with one person in red shirt and hat, with another person in blue hat and red shirt.'], ['A woman and a man riding horses in a rodeo, with the woman riding a horse bucking and her legs in the air.'], ['Two people wearing red shirts riding a horse with a child on its back.'], ['A woman in a blue hat and red shirt rides a horse in an arena, while people watch from the side.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3C140>,"[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]","[['A group of people are racing on ice, and the one in the foreground is in a diving position.'], ['A boy is standing in the middle of a frozen pond, holding a hockey stick.'], ['The image shows a group of four people in a racing competition on a ice rink.'], ['A group of children are participating in a short-track speed skating competition.'], ['A person is lying on the ground while another person is doing the same. There is another person in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7FD2D5B3F410>,"[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]","[['A group of people in matching white clothing stand on a stage in front of a black stage.'], ['A man in a white outfit plays a keyboard on a stage, with a drum set and other instruments nearby.'], ['A group of people in a large, dark room with a stage. A man is dressed in all white, including a hat, and is playing a keyboard.'], ['A man wearing a white uniform and cap plays a keyboard on a stage with bright lights shining down.'], ['A female drummer is playing on a stage in front of an audience.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7FD2D5B3F860>,"[[""A group of people are standing on a city street at night; in the background are streetlights and a McDonald's restaurant.""], ['A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]","[['A man wearing a bright yellow reflective vest and green pants stands on the sidewalk, pushing a green cart with a blue and white sign on it.'], [""The image shows a group of people gathered on a street corner, with a car and a McDonald's restaurant in the background. The scene is set at night, with a street lamp casting a warm glow on the scene. The people are dressed in casual attire, and there are trees and a few bushes surrounding the corner.""], ['A street cleaner pushes a cart filled with trash bags and wearing a yellow safety jacket, green pants, and a reflective safety vest. He is walking along a road in an urban setting.'], ['A man dressed in green and yellow is pushing a cart of trash along a street at night.'], ['A man in a bright yellow vest and green pants is standing at a busy street corner in an urban setting.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7FD2D5B3F8C0>,"[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]","[['A man in a black shirt is grilling sausages on a grill.'], ['A man is grilling many sausages on a grill in front of a white tarp.'], ['A dark-skinned man is standing in front of a grill full of sausages.'], ['A man is standing on a silver grill that is filled with a variety of sausages.'], ['A man is cooking sausages on a grill, while wearing a watch on his wrist.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3EAB0>,"[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]","[['A girl in a navy blue school uniform hugs a tree trunk as she looks out at the city skyline.'], ['A young girl wearing a navy school uniform climbs a tree while another child peers into the distance.'], ['A man leans against a tree in the woods, wearing a gray fleece jacket and jeans, with a serious expression.'], ['A woman in a blue outfit climbs a tree, with bare branches all around.'], ['A young girl in a blue sweater and plaid skirt climbs a bare tree in front of a city.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7FD2D5B3C320>,"[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]","[['A girl is wearing a red soccer uniform and practicing her kick with a soccer ball in her hands.'], ['A man in a red shirt and black shorts is kicking a soccer ball into a net in front of a white banner with a logo for an eye clinic.'], ['A man in a red shirt and black shorts playing soccer in a soccer field.'], ['A man in a red jersey and black shorts kicking a soccer ball into a net.'], ['A young boy wearing a red and black uniform is playing soccer and kicking the ball into a goal.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3FC80>,"[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]","[['A man with a short haircut and blue jeans is sitting on a metal grate next to a bike and a brick wall.'], ['A man is sleeping on a black and white bench while wearing a blue and white striped shirt.'], ['A man with a light brown shirt and blue jeans is sitting on a black woven bench.'], ['A man is lying on the ground, leaning against a silver pole.'], ['A man in a blue and white striped shirt is sitting on the ground and sleeping.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3D970>,"[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]","[['A man in a white t-shirt and a hat is seen in a small boat on a body of water, surrounded by several white swans and other ducks. The swans are positioned in front of the boat, while the ducks are floating in the water behind it.'], ['A man in a white T-shirt and a tan hat standing at the edge of a boat in a canal, surrounded by a flock of white swans.'], ['A group of swans swim in a pond as a man in a boat paddles through the water with a group of ducks.'], ['A man wearing a hat and a t-shirt in a small boat, surrounded by white swans in a lake.'], ['A man in a white shirt, blue jeans, and a tan hat is sitting in a boat on a small canal surrounded by white swans. A brick wall and a grassy area can be seen in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3EB10>,"[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]","[['A golden retriever in the grass with a long white tail, surrounded by leaves and a stick.'], ['A golden retriever with a long tail standing in a field with dry leaves on the ground.'], ['A dog playing with a stick while its owner is nowhere in sight.'], ['A man and a boy playing tug of war with a rope in a park, while the boy looks at the rope.'], ['A person dressed in a blue shirt and jeans playing fetch with a Golden Retriever in a grassy park.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7FD2D5B3EED0>,"[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], [""A woman playing an electric guitar that doesn't have any strings.""], ['A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]","[['A person is sitting on a couch holding a guitar with a necklace around their neck.'], ['A person is standing next to a tan couch, holding an electric guitar with a black body and a light-colored neck, wearing a purple lei.'], ['A man is holding a large, black and white electric guitar while standing near a brown couch.'], ['A woman is sitting on a couch holding a guitar and looking up at something.'], ['A woman is standing on a couch with a bottle of soda on a table behind her. The woman is holding an electric guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7FD2D5B3E840>,"[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]","[['A man in a white button-down shirt and a backpack stands in front of a statue of the Statue of Liberty, holding an American flag.'], ['A woman with a red and white hat on, looking at a man as he holds up his red, white, and blue umbrella.'], ['A man dressed as the Statue of Liberty stands in Times Square, wearing sunglasses and holding a torch.'], ['A man is seen from behind as he looks at a woman on the right side of the image. The woman has short blonde hair and is wearing a blue top.'], ['A man in a suit, a woman in a wedding dress, and a man in a wedding tuxedo are walking down the street with their wedding party.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7FD2D5B3EB40>,"[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]","[['A young man stands in a winter wonderland, wearing a black and white striped shirt and a black helmet. He is surrounded by snow, suggesting he is engaging in a winter activity such as snowboarding.'], ['A man skis through the air, with snow flying around him and behind him.'], ['A man is making a jump in the air, in the snow with snow splashing around him.'], ['A man rides a snowboard through a pile of snow. The snowboarder is wearing a black and white striped top with black pants, yellow boots and a black helmet. He rides a snowboard with a blue and yellow board. There is snow flying in the air behind him, suggesting he has just jumped off a ramp.'], ['A man wears a black and white striped sweater and a black beanie with a white letter on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7FD2D5B3F2C0>,"[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]","[['The image shows a woman sitting at a microscope looking at a sample in a lab.'], [""A woman is taking a picture of a man's feet on a microscope slide.""], ['A woman in a blue long-sleeved shirt looks through a microscope at a microscope slide.'], ['A man in a lab setting in front of a microscope, with a screen and a computer.'], ['A woman wearing a blue shirt is sitting at a microscope with a large piece of equipment.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7FD2D5B3EF90>,"[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]","[['A man in a black baseball cap, blue jacket, and khakis is walking a large orange dog on a leash.'], ['The photo is of a white, old, and run-down building with a man walking a dog in front of it. The building is in a state of disrepair, with peeling paint and graffiti on the walls. A man is walking a dog on a leash near the building, while some green plants and a metal fence are in front of it.'], ['A man and a brown dog run on a concrete street. The man is wearing a black hat, blue jacket, khaki pants and brown shoes. The dog is brown with a short tail.'], [""A man wearing a blue baseball cap, a dark jacket, brown pants, and a blue shirt is walking his dog while walking down a sidewalk, it's a sunny day.""], ['A man walking a dog on a leash on a gray cement road, in front of a white building with graffiti.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3FAD0>,"[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]","[['Two people are engaged in a strawberry-picking activity in a field of lush green plants.'], ['A woman with a child sits on the ground looking at a large yellow and black butterfly.'], ['A man and a woman are cutting hair in a small outdoor setting, with a grassy field in the background.'], ['Two people are at work cutting the grass at a field. The grass is green and healthy, and the ground is brown.'], ['A woman with a blonde ponytail and a maroon t-shirt bends down to pick up a berry, with a woman with a red-haired bob and a black hoodie behind her.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7FD2D5B3F9B0>,"[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]","[['A little girl with a bowl cut eating an ear of corn with her hands.'], ['A woman with a short haircut, dark hair, and bangs looks towards the camera while eating corn on the cob.'], ['A woman with a dark bob hairstyle and dark eyes holds a partially eaten ear of corn.'], ['A young woman with a haircut bites into a piece of corn on the cob.'], ['A man in a gray suit and tie sits at a table in front of a brown wooden wall.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7FD2D5B3FCB0>,"[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]","[['A woman in a pink shirt and a cowboy hat riding a horse around a red barrel, likely during a rodeo.'], ['A woman on a brown horse is racing through a barrel as a crowd of people watch.'], ['A group of people in a rodeo arena watching a young man riding a horse.'], ['A woman rides a horse at a rodeo event in the dirt of a rodeo arena.'], ['A man rides a brown horse with a white spot on the nose as it makes a sharp turn around a red barrel with a Dodge logo on it.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3F7A0>,"[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]","[['A man in a green jacket is standing with a shotgun in a field.'], ['A man is standing with his shotgun during a shooting competition.'], ['A man in a green shirt and khaki pants is holding a gun while standing in a field.'], ['A man in a green jacket stands with a shotgun in a field.'], ['Two men are at a shooting range, with one man holding a shotgun and the other wearing ear protection.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7FD2D5B3FD70>,"[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]","[['A woman in a red top and a blue blanket sits in the backseat of a car, hugging a large gray object, perhaps in a road trip or car journey.'], ['A woman is sleeping in a car, with a blanket wrapped around her.'], ['A woman is sleeping in the front seat of a car with a blanket over her.'], ['A young woman is taking a nap in the backseat of a car while her partner is driving.'], ['A man lies on a couch with a book in his hand looking at a tablet.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7FD2D5B3FE00>,"[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]","[['A man with a brown jacket and khaki pants is walking down the street. It is snowing and he is walking by a concrete building with some graffiti on it.'], ['A man is walking across a crosswalk in front of a building with a large window and a wall with graffiti.'], ['The image is of a snowy day and a man is walking across the street.'], ['A man with a dark jacket and khaki pants is walking in the snow in front of a graffiti wall.'], ['A man wearing a black coat and light pants is walking past a wall with a graffiti mural.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7FD2D5B3FE90>,"[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]","[['A man is sitting on a chair with a small box and wire in front of him, surrounded by a crowd of people in the background.'], ['A man is sitting on the ground, holding a portable projector, and is projecting something in front of a crowd of people.'], ['A man in a Backyard Babies T-shirt is sitting on a concrete block in front of a crowd of people.'], ['A man with a beard and headphones is sitting on a stage in front of a crowd of people, with a city street behind them.'], ['A crowd of people gathered in the background of a man on a stage.']]"
